Question,A,B,C,D,Correct
"בעת שימוש במסכת חמצן עם שקית העשרה (Non‑Rebreather) במטופל מבוגר, מהו טווח זרימת החמצן המומלץ לקבלת 90–100 % O₂?",2 ליטר/דקה,4 ליטר/דקה,10–15 ליטר/דקה,20 ליטר/דקה,C
"לאחר שה‑AED סיפק שוק למטופל מחוסר דופק, איזו פעולה יש לבצע מיד?",בדיקת דופק מיידית,חידוש עיסויי חזה למשך כשתי דקות לפני הערכה מחדש,שתי הנשמות ואז דופק,השמת מנתב אוויר ובדיקת נשימה,B
"מיכל חמצן 20 ל׳ בלחץ 750 PSI, זרימה 10 LPM. לכמה דקות יספיק החמצן?",≈ 40 דק׳,≈ 60 דק׳,≈ 100 דק׳,≈ 200 דק׳,C
"ילד בן 6 ללא דופק ונשימה, שני מטפלים מבצעים החייאה. מה יחס העיסויים‑הנשמות?",30 : 2,15 : 2,5 : 1,3 : 1,B
"תינוק בן 9 חודשים, מטפל יחיד מבצע החייאה. איזה יחס עיסויים‑הנשמות יש לבצע?",15 : 2,30 : 2,2 : 30,3 : 1,B
מהו קצב עיסויי החזה המומלץ במבוגר (לחיצות לדקה)?,80–100,100–120,60–80,120–140,B
מהו עומק הלחיצה המינימלי בעת עיסוי חזה במבוגר?,2 ס״מ,3 ס״מ,5 ס״מ לפחות,8 ס״מ,C
כיצד יש למקם אישה בהריון מתקדם לאחר טראומה בזמן פינוי?,בשכיבה על צד שמאל (לוח מוטה שמאל),על הגב לחלוטין,ישיבה עם רגליים מוגבהות,פרקדן על צד ימין,A
איזו מהמצבים הבאים אינו נחשב התוויה למתן חמצן לפי הנחיות החובש?,דום נשימה,תת‑לחץ דם,דימומים משמעותיים,חום גוף גבוה ללא קוצר נשימה,D
"ב‑PHTLS, מהי הפעולה הדחופה הראשונה בסבב הראשוני בפצוע עם דימום פורץ?",עצירת שטפי דם מסכני‑חיים,פתיחת נתיב אוויר,בדיקת דופק,הערכת רמת הכרה,A
"גבר בן 54, כאב לוחץ בחזה 20 דק׳ לאחר מאמץ, חיוור ומזיע. במי/במה תחשוד?",רפלוקס קיבתי,תסחיף ריאתי,תסמונת כלילית חריפה (ACS),התקף חרדה,C
"מטופל עם חשד ל‑ACS. האם תיתן 300 מ""ג אספירין לעיסה?","כן מיד, ללא שאלות","כן, רק לאחר שלילת רגישות, כיב, היריון או שברים/ניתוח אחרון","כן, רק לאחר שלילת רגישות וכיב; היריון אינו התוויית‑נגד","לא, אספירין אסור אם ל""ד סיסטולי מעל 140",B
"במסעדה, גבר בן 40 נחנק מנתח סטייק. הוא עומד, פניו מאדימות, מוציא קולות חרחור חלשים ואינו מסוגל לדבר. מה עליך לעשות מיד?","עודד אותו להשתעל בלבד, אין להתערב.",בצע סדרת לחיצות ברום הבטן (“חיבוק דוב”) 6–10 פעמים כלפי מעלה.,טפח בחוזקה בין השכמות 5 פעמים.,הנח מסכת NRB עם 15 LPM חמצן וחכה.,B
"חורף קר. אתה נקרא לדירה קטנה; בחדר סגור יושבת אישה בת 32, מתלוננת על כאב ראש חזק, בחילה וסחרחורת. עור פניה ורדרד; היא ערה אך מבולבלת. מה הצעד הראשוני שלך?",מדידת לחץ‑דם ונשימה ללא שינוי בסביבה.,תשאול ארוך לגבי מחלות רקע כדי לשלול דימום מוחי.,"פתח חלונות ודלתות, הרחק אותה לאוויר צח והצע חמצן בריכוז גבוה.","חיבור למוניטור בלבד, סטורציה 94 % מספיקה.",C
"במהלך ישיבת צוות, עובד בן 45 מתחיל להזיע בכבדות, רועד ואומר שהראייה ""מטושטשת"". הוא מתוודה שאכל רק קפה בבוקר ולובש צמיד זיהוי סוכרת. מה האבחנה הסבירה ביותר ומה הטיפול הראשוני כחובש?",היפרגליקמיה → יש להזריק אינסולין.,היפוגליקמיה → תן גלוקו‑ג׳ל 15 גרם (אפשר עד שתי שפורפרות).,שבץ מוחי → העבר לשכיבה שטוחה ללא גלוקוז.,חרדה חריפה → הדרכת נשימות והרגעה בלבד.,B
"לאחר דום לב במשרד, אתה מתחיל עיסויי חזה. מה הקצב והמינימום‑עומק הנדרש לעיסויים במבוגר?","80–100 לדקה, 4 ס""מ.","100–120 לדקה, ≥ 5 ס""מ.","120–140 לדקה, ≥ 6 ס""מ.","60–80 לדקה, ≥ 3 ס""מ.",B
תינוק בן 7 חודשים נחנק מסוכרייה; שיעולו חלש וצבעו מתחיל לכחול. מה רצף הפעולות הנכון?,5 טפיחות בין השכמות → הפוך → 5 לחיצות חזה; חזור עד פליטת הגוף הזר או אובדן הכרה.,לבצע לחיצות בטן כמו במבוגר.,להכניס אצבע לפה ולשלוף את הסוכרייה.,קודם‑כול לבדוק דופק ורק אז להחליט.,A
איזה מצב אינו ברשימת ההתוויות למתן חמצן?,תת‑לחץ דם.,דום נשימה.,דימום מסיבי.,חום גבוה ללא קוצר‑נשימה.,D
"אישה בת 30 עם פריחה, בצקת שפתיים וקושי נשימתי קל; בידה EpiPen. מה הצעד הראשוני?",תן אנטיהיסטמין פומי ורק אם מחריף – אפיפן.,"עודד שימוש ב‑EpiPen והזעק נט""ן.",המתן 5 דק׳ להשפעת חמצן בלבד.,אסור להשתמש באפיפן ללא רופא.,B
"תאונת טרקטורון: פצע חתך עמוק בירך ימין, דימום פורץ בקשת. לחץ ישיר נכשל. היכן תניח חסם עורקים רוסי?","2 ס""מ מתחת לפצע כדי לחסום ""מלמטה"".","5–10 ס""מ מעל מקום הדימום, מהדק עד הפסקת דופק דיסטלי.","ממש על גבי הפצע כדי ""לסגור"" את החתך.",מעל מפרק הירך (במפשעה) בכל מקרה.,B
"מיכל 20 ל׳ בלחץ 600 PSI, זרימה קבועה 15 LPM. לכמה דקות יספיק החמצן?",≈ 40 דק׳.,≈ 80 דק׳.,≈ 100 דק׳.,≈ 120 דק׳.,B
ילד בן 3 נשפכו עליו מים רותחים; כוויה מדרגה 2 על כ‑30 % גוף. מה הטיפול הראשוני בשטח?,משחה אנטיביוטית וכיסוי יבש בלבד.,"קירור במים זורמים, הסרת בגדים לא דבוקים, חמצן גבוה ופינוי דחוף.",לפוצץ שלפוחיות ולמרוח ג׳ל אלוורה.,עטיפה בשמיכה תרמית ללא קירור.,B
"לילה בעיר: רוכב קורקינט שוכב על הכביש, צורח מכאב ודם פורץ מירכו. לאחר הערכת הכרה ובטיחות, מה הפעולה הדחופה הראשונה?",עצירת שטף הדם המסכן‑חיים.,פתיחת נתיב אוויר ב‑NPA.,הנחת צווארון וקיבוע ראש ידני.,בדיקת אישונים.,A
"מטופל עם ACS: לחץ‑דם 100/60, דופק 120, נשימה 24. איזה סימן מעיד על הלם מפוצה?",לחץ‑דם גבוה.,חיוורון והזעה קרה.,דופק 60 חזק.,עור חם ואדום.,B
גבר בן 60 עם אוטם חריף; זמן פינוי משוער 8 דקות. מה ההחלטה הנכונה לגבי עירוי נוזלים?,הכנס 2 וונפלונים וטען 1 ל׳ RL לפני יציאה.,צא מיד; עירוי IV יבוצע רק אם פינוי מעל 20 דק׳ או במצב הלם.,אין לפנות בלי שני עורקים ורידיים פתוחים.,המתן לתוצאות בדיקות דם בשטח.,B
"אירוע דקירה: גבר שוכב; אוורור ""בועתי"" נשמע מפצע פתוח בבית‑חזה ימין. מה הטיפול הראשוני?",חבישה אטומה לחלוטין ב‑4 צדדים.,"חבישת ""אשרמן"" עם שסתום חד‑כיווני על הפצע.",ניקור חזה מיידי במחט 14G.,תחבושת אלסטית מאווררת בלבד.,B
"קשיש בן 72 עם אי‑ספיקת לב יושב בזווית 90°, נושם בקולות גרגור, מפריש קצף ורדרד בזוויות הפה. מה הצעד הראשוני שלך?","הושב ב‑90°, ספק חמצן גבוה (NRB/CPAP) והיערך לפינוי דחוף.",השכבה שטוחה כדי לשפר החזר דם ללב.,עירוי 1 ל׳ NS מהיר להגברת תפוקת לב.,עיסוי חזה למניעת סטזיס ריאתי.,A
"תאונת אופניים: גבר צעיר חבוש קסדה שוכב על גבו ללא תלונות נשימה. בהערכת הכרה מדבר, מתלונן על כאב צוואר. מה עליך לבצע מיד לאחר הבטחת בטיחות הסביבה?",הסרת הקסדה במהירות ופינוי משטח,קיבוע ידני של עמוד שדרה צווארי והזעקת צוות נוסף,הושבת המטופל לשיפור נוחות,בדיקת לחץ‑דם לפני כל טיפול,B
"מטייל בן 30 נמצא בשטח מושלג רטוב ורועד. עורו חיוור, דופקו איטי, הוא מתבלבל בתשובות. מה הצעד הטיפולי הראשוני?","הסרת בגדים רטובים, בידוד ושיקום חום הדרגתי.",הזרקת אדרנלין לחימום מהיר.,שתיית אלכוהול לחימום פנימי.,השכבה על הקרקע וחשיפה לרוח לייבוש.,A
